player_id_team,season,extra_point_attempts,extra_points_made,extra_point_pct,extra_points_blocked
tyler-bass-BUF,2026,0,0,0,0
riley-patterson-MIA,2026,0,0,0,0
andres-borregales-NE,2026,1,1,100.0,0
blake-grupe-NYJ,2026,0,0,0,0
jason-sanders-NYJ,2026,0,0,0,0
tyler-loop-BAL,2026,0,0,0,0
jake-moody-BAL,2026,0,0,0,0
evan-mcpherson-CIN,2026,0,0,0,0
andre-szmyt-CLE,2026,0,0,0,0
chris-boswell-PIT,2026,0,0,0,0
ka-imi-fairbairn-HOU,2026,0,0,0,0
spencer-shrader-IND,2026,0,0,0,0
cam-little-JAX,2026,0,0,0,0
joey-slye-TEN,2026,0,0,0,0
wil-lutz-DEN,2026,0,0,0,0
harrison-butker-KC,2026,0,0,0,0
matt-gay-LV,2026,0,0,0,0
kansei-matsuzawa-LV,2026,0,0,0,0
cameron-dicker-LAC,2026,0,0,0,0
brandon-aubrey-DAL,2026,0,0,0,0
dominic-zvada-NYG,2026,0,0,0,0
jake-elliott-PHI,2026,0,0,0,0
drew-stevens-WAS,2026,0,0,0,0
cairo-santos-CHI,2026,0,0,0,0
jake-bates-DET,2026,0,0,0,0
lenny-krieg-GB,2026,0,0,0,0
trey-smack-GB,2026,0,0,0,0
will-reichard-MIN,2026,0,0,0,0
nick-folk-ATL,2026,0,0,0,0
ryan-fitzgerald-CAR,2026,0,0,0,0
daniel-carlson-NO,2026,0,0,0,0
charlie-smyth-NO,2026,0,0,0,0
chase-mclaughlin-TB,2026,0,0,0,0
chad-ryland-ARI,2026,0,0,0,0
harrison-mevis-LAR,2026,1,1,100.0,0
eddy-pineiro-SF,2026,3,3,100.0,0
jason-myers-SEA,2026,1,1,100.0,0
